Confirmation Number,Services Offered,Target Entity,Interest Areas,Investors,Hiring Requirement,GeoLocation,Job Function,Investment Range,Investment Requirement,Services Required,Companies Raising Money,GeoLocation 
100094804,"Data Architecture & Infrastructure Solutions,Autonomous Vehicles,Mobile Wallets & Payments Solutions,Shoppable Video & Livestreaming Solutions,HR, Staffing & Recruitment Services,Product Information Management (PIM) Solutions,Market Research & Analysis Services","Marketplace or Marketplace Solution,Startup Retailer or Brand,Real Estate,Startup Solution Provider or Technology Company,Large Solution Provider or Technology Company,Government,Industry Association or Nonprofit,Professional Services Firm,Investor (VC, PE or Other),Established Retailer or Brand,Higher Education,Media or Sell Side Analyst,Marketing & Digital Agency",,,"Strategy, Innovation & Transformation,Research, Content & Journalism,Product Development & Management,Consulting & Advisory,Technology & IT,Environmental, Social & Corporate Governance (ESG),Store Operations","Other Europe,Asia - Other,Eastern Europe,India,France & Benelux,Southern Europe,Germany, Austria & Switzerland,Australia & New Zealand,Africa,Middle East,Nordics","Data, Analytics & Insights,Finance & Accounting,Investing",,$1 million or less,"Video Web Operations,Cashflow Reporting & Visibility Solutions,Merchandising Analytics",True,"Other Europe,Asia - Other,Eastern Europe,India,France & Benelux,Southern Europe,Germany, Austria & Switzerland,Australia & New Zealand,Africa,Middle East,Nordics"
108541008,,"Professional Services Firm,Investor (VC, PE or Other),Marketing & Digital Agency,Established Retailer or Brand,Large Solution Provider or Technology Company,Startup Solution Provider or Technology Company,Higher Education,Marketplace or Marketplace Solution,Government,Real Estate,Media or Sell Side Analyst",,,,"Africa,Australia & New Zealand,Germany, Austria & Switzerland,France & Benelux,Nordics,Other Europe,India,Asia - Other,UK & Ireland,Central & South America,Eastern Europe,Middle East,North America,Southern Europe,China","Technology & IT,Digital & Ecommerce",,,,False,"Africa,Australia & New Zealand,Germany, Austria & Switzerland,France & Benelux,Nordics,Other Europe,India,Asia - Other,UK & Ireland,Central & South America,Eastern Europe,Middle East,North America,Southern Europe,China"
106223502,Product Information Management (PIM) Solutions,,,,,"Central & South America,India,Other Europe,Eastern Europe,Asia - Other","Sales, BD & Account Management",,$1 million or less,,True,"Central & South America,India,Other Europe,Eastern Europe,Asia - Other"
108691922,,,,,"Technology & IT,Merchandising,Sales, BD & Account Management,Data, Analytics & Insights,HR, Talent Acquisition & Workforce Management,Strategy, Innovation & Transformation,Logistics & Transportation (inc. Last-Mile),Customer Experience,Research, Content & Journalism,Other,Legal, Compliance & Risk,Supply Chain, Operations & Fulfillment,Investing,Product Development & Management,Partnerships,Marketing, Advertising & Communications,Store Operations","Southern Europe,Africa,Middle East,China,UK & Ireland,Central & South America,Germany, Austria & Switzerland,Other Europe,Asia - Other,Australia & New Zealand,India,Eastern Europe",Investing,,$1 million+ to $5 million,Consumer Sentiment & Reviews,True,"Southern Europe,Africa,Middle East,China,UK & Ireland,Central & South America,Germany, Austria & Switzerland,Other Europe,Asia - Other,Australia & New Zealand,India,Eastern Europe"
105503051,,"Startup Retailer or Brand,Real Estate,Industry Association or Nonprofit,Professional Services Firm,Government,Investor (VC, PE or Other),Marketplace or Marketplace Solution,Higher Education,Marketing & Digital Agency,Established Retailer or Brand,Large Solution Provider or Technology Company,Startup Solution Provider or Technology Company,Media or Sell Side Analyst",,False,"Data, Analytics & Insights,Sales, BD & Account Management,Procurement & Vendor Management,Legal, Compliance & Risk,Technology & IT,Strategy, Innovation & Transformation,Marketing, Advertising & Communications,Environmental, Social & Corporate Governance (ESG)","Eastern Europe,Australia & New Zealand,India,China,Central & South America,North America,Asia - Other","Strategy, Innovation & Transformation",,,"Artificial Intelligence (inc. Machine Learning),Shipping Providers,Forecasting & Replenishment Solutions,Shoppable Video & Livestreaming Solutions,Mapping & Wayfinding Technologies,Financing Solutions,Financial, Accounting & ERP Solutions & Integration Services,Network & Communications (inc. RFID & WiFi),Digital Marketing Services,Content Marketing Solutions",,"Eastern Europe,Australia & New Zealand,India,China,Central & South America,North America,Asia - Other"
108227153,,"Startup Solution Provider or Technology Company,Industry Association or Nonprofit,Established Retailer or Brand,Large Solution Provider or Technology Company,Government,Real Estate,Marketplace or Marketplace Solution",,,,"Middle East,India,Australia & New Zealand,Nordics,China,Other Europe,North America,Africa","Merchandising,Technology & IT",,,"In-Store Media Solutions,Hiring & Recruitment Solutions",,"Middle East,India,Australia & New Zealand,Nordics,China,Other Europe,North America,Africa"
108374733,,"Startup Retailer or Brand,Marketing & Digital Agency,Media or Sell Side Analyst,Large Solution Provider or Technology Company,Established Retailer or Brand,Industry Association or Nonprofit,Government,Investor (VC, PE or Other),Startup Solution Provider or Technology Company,Higher Education,Real Estate,Marketplace or Marketplace Solution,Professional Services Firm",,,,"Middle East,Australia & New Zealand","Strategy, Innovation & Transformation,Sales, BD & Account Management,Logistics & Transportation (inc. Last-Mile)",,,,False,"Middle East,Australia & New Zealand"
108429045,,"Real Estate,Large Solution Provider or Technology Company,Higher Education,Professional Services Firm,Investor (VC, PE or Other),Established Retailer or Brand",,,,"Nordics,India,Australia & New Zealand,Central & South America","Partnerships,Legal, Compliance & Risk,Digital & Ecommerce",,,,,"Nordics,India,Australia & New Zealand,Central & South America"
106673569,,,,,,"India,Central & South America,Africa,Asia - Other,Eastern Europe,China,Australia & New Zealand,North America,Germany, Austria & Switzerland,Other Europe,France & Benelux,Nordics","HR, Talent Acquisition & Workforce Management,Logistics & Transportation (inc. Last-Mile),Digital & Ecommerce",,,"Social Media Marketing Solutions,Fraud Detection & Risk Management Solutions,Fulfillment Solutions,Media Buying Services,Real Estate Brokerage & Advisory Services,Third Party Logistics (3PL) Services,Search Engine Marketing (SEM),Product Information Management (PIM) Solutions",False,"India,Central & South America,Africa,Asia - Other,Eastern Europe,China,Australia & New Zealand,North America,Germany, Austria & Switzerland,Other Europe,France & Benelux,Nordics"
104033073,,,,,,"Central & South America,Middle East,Nordics,Africa,North America,UK & Ireland","HR, Talent Acquisition & Workforce Management,Marketing, Advertising & Communications",,,,,"Central & South America,Middle East,Nordics,Africa,North America,UK & Ireland"
100383548,"Shoppable Video & Livestreaming Solutions,Real Estate Brokerage & Advisory Services,NFTs & Tokens,Email Marketing Solutions,Associate Mobility Solutions,Site Personalization Solutions,Price Optimization Solutions,Marketing Analytics",,,,,"Asia - Other,Australia & New Zealand,Nordics,UK & Ireland,Germany, Austria & Switzerland,Central & South America,Middle East,Southern Europe,North America,Other Europe,Eastern Europe,China,Africa,India","Technology & IT,Procurement & Vendor Management",,,,,"Asia - Other,Australia & New Zealand,Nordics,UK & Ireland,Germany, Austria & Switzerland,Central & South America,Middle East,Southern Europe,North America,Other Europe,Eastern Europe,China,Africa,India"
107872399,"Legal, Compliance & Regulatory Services,Packaging Solutions,Cashflow Reporting & Visibility Solutions,Data Management Platforms,Social Media Services,Financing Solutions,Loyalty & Rewards (inc. Rebates) Solutions",,,,"Finance & Accounting,Technology & IT,Other,Merchandising,HR, Talent Acquisition & Workforce Management,Customer Experience,Product Development & Management,Strategy, Innovation & Transformation,Sales, BD & Account Management,Logistics & Transportation (inc. Last-Mile),Supply Chain, Operations & Fulfillment,Environmental, Social & Corporate Governance (ESG),Digital & Ecommerce,Executive Leadership & Board of Directors,Investing,Data, Analytics & Insights","Asia - Other,India,Southern Europe,North America,China,Australia & New Zealand","Merchandising,Logistics & Transportation (inc. Last-Mile)",,,"Product Data Management Solutions,Back Office Process & Workflow Automation (inc. RPA),Merchandising Assortment Planning & Management,Social Commerce Platforms,Affiliate Marketing Solutions,Marketing Analytics,BNPL & Customer Installment Lending Solutions,Customer Data Platforms",False,"Asia - Other,India,Southern Europe,North America,China,Australia & New Zealand"
101179346,,"Established Retailer or Brand,Media or Sell Side Analyst,Marketing & Digital Agency,Higher Education,Investor (VC, PE or Other),Large Solution Provider or Technology Company,Startup Solution Provider or Technology Company,Government,Real Estate,Professional Services Firm",,,,Central & South America,Executive Leadership & Board of Directors,,,"Product Information Management (PIM) Solutions,Distribution Center Management,In-Store Media Solutions,Consultancy & Advisory Services",,Central & South America
107904922,"Sustainability Solutions,Automated Retail Kiosks,Associate Mobility Solutions,Metaverse Platforms & Solutions,Search Engine Marketing (SEM),Marketing Personalization Solutions","Professional Services Firm,Industry Association or Nonprofit,Investor (VC, PE or Other),Large Solution Provider or Technology Company,Real Estate,Media or Sell Side Analyst,Higher Education,Startup Solution Provider or Technology Company",,,,"Southern Europe,India,Middle East,France & Benelux,Africa","Strategy, Innovation & Transformation,Procurement & Vendor Management",,,"Reconciliation & Reporting Solutions,Cross-Border Ecommerce Platforms,Inventory Management Systems,Video Web Operations,Network & Communications (inc. RFID & WiFi),Customer Feedback Solutions,Marketing Automation Platforms,Crypto Payments Solutions,Returns Solutions",,"Southern Europe,India,Middle East,France & Benelux,Africa"
108062867,"Mobile, App & SMS Marketing Solutions,Mobile POS Solutions,Warehouse Management System,Product Information Management (PIM) Solutions",,,True,,"Other Europe,India,Central & South America,Asia - Other,Germany, Austria & Switzerland,Australia & New Zealand,Africa","Consulting & Advisory,Executive Leadership & Board of Directors","$1 million+ to $5 million
$5 million+ to 10 million
$1 million or less",,"Cause-Based Marketing Solutions,Influencer Marketing Solutions,Loyalty Management Solutions",,"Other Europe,India,Central & South America,Asia - Other,Germany, Austria & Switzerland,Australia & New Zealand,Africa"
105787935,,,,,,"Germany, Austria & Switzerland,China,North America,Eastern Europe,Asia - Other,Nordics,Other Europe,UK & Ireland,Australia & New Zealand,Middle East,India,Africa,Southern Europe,France & Benelux","Executive Leadership & Board of Directors,Customer Experience,Procurement & Vendor Management",,,,,"Germany, Austria & Switzerland,China,North America,Eastern Europe,Asia - Other,Nordics,Other Europe,UK & Ireland,Australia & New Zealand,Middle East,India,Africa,Southern Europe,France & Benelux"
100524299,,,,,"Finance & Accounting,Procurement & Vendor Management,Investing,Technology & IT,HR, Talent Acquisition & Workforce Management,Research, Content & Journalism,Data, Analytics & Insights,Partnerships,Environmental, Social & Corporate Governance (ESG),Customer Experience,Marketing, Advertising & Communications,Digital & Ecommerce,Legal, Compliance & Risk,Merchandising,Product Development & Management,Sales, BD & Account Management,Executive Leadership & Board of Directors,Store Operations,Other,Logistics & Transportation (inc. Last-Mile)","North America,Africa,Southern Europe,Asia - Other,India,Central & South America,Germany, Austria & Switzerland,France & Benelux",Partnerships,,,"Inventory Planning & Optimization Tools,Payroll & Earned Wage Access Solutions,Media Buying Services,Mobile, App & SMS Marketing Solutions",,"North America,Africa,Southern Europe,Asia - Other,India,Central & South America,Germany, Austria & Switzerland,France & Benelux"
107482444,,"Investor (VC, PE or Other),Government,Real Estate,Higher Education,Marketing & Digital Agency,Media or Sell Side Analyst",,,,"Southern Europe,Africa,Asia - Other,Germany, Austria & Switzerland,Other Europe,North America,Central & South America,China,Nordics,UK & Ireland,Middle East,India,France & Benelux",Store Operations,,,,,"Southern Europe,Africa,Asia - Other,Germany, Austria & Switzerland,Other Europe,North America,Central & South America,China,Nordics,UK & Ireland,Middle East,India,France & Benelux"
105855404,,"Industry Association or Nonprofit,Startup Retailer or Brand",,,,"Southern Europe,Africa,Asia - Other,Other Europe,Germany, Austria & Switzerland,North America,Australia & New Zealand,India,China,UK & Ireland,Eastern Europe,France & Benelux,Nordics,Middle East","Marketing, Advertising & Communications",,,,,"Southern Europe,Africa,Asia - Other,Other Europe,Germany, Austria & Switzerland,North America,Australia & New Zealand,India,China,UK & Ireland,Eastern Europe,France & Benelux,Nordics,Middle East"
103645138,,"Marketing & Digital Agency,Real Estate,Government,Startup Retailer or Brand,Startup Solution Provider or Technology Company,Marketplace or Marketplace Solution,Industry Association or Nonprofit,Professional Services Firm,Media or Sell Side Analyst,Investor (VC, PE or Other),Higher Education,Large Solution Provider or Technology Company,Established Retailer or Brand",,,,"Central & South America,India","Product Development & Management,Strategy, Innovation & Transformation",,,,,"Central & South America,India"
108171495,,,,,,"Africa,Southern Europe,North America,Nordics,Middle East,Other Europe,Australia & New Zealand,China,Asia - Other,Central & South America,Eastern Europe,UK & Ireland,Germany, Austria & Switzerland,India",Procurement & Vendor Management,,,"Financial Planning, Analysis & Forecasting Tools,Crypto Payments Solutions",,"Africa,Southern Europe,North America,Nordics,Middle East,Other Europe,Australia & New Zealand,China,Asia - Other,Central & South America,Eastern Europe,UK & Ireland,Germany, Austria & Switzerland,India"
107375671,,Real Estate,,,,"Australia & New Zealand,Southern Europe,Eastern Europe","HR, Talent Acquisition & Workforce Management",,,,,"Australia & New Zealand,Southern Europe,Eastern Europe"
102352913,,"Investor (VC, PE or Other),Higher Education,Industry Association or Nonprofit,Media or Sell Side Analyst,Startup Solution Provider or Technology Company,Startup Retailer or Brand",,,"Other,Digital & Ecommerce,Legal, Compliance & Risk,Research, Content & Journalism,HR, Talent Acquisition & Workforce Management,Merchandising,Executive Leadership & Board of Directors,Procurement & Vendor Management,Strategy, Innovation & Transformation,Environmental, Social & Corporate Governance (ESG),Finance & Accounting,Supply Chain, Operations & Fulfillment,Product Development & Management,Store Operations,Investing,Logistics & Transportation (inc. Last-Mile),Partnerships,Sales, BD & Account Management","Australia & New Zealand,UK & Ireland","Finance & Accounting,Technology & IT",,$1 million+ to $5 million,,True,"Australia & New Zealand,UK & Ireland"
107488622,,,,,,"Central & South America,Middle East","Data, Analytics & Insights,Product Development & Management,Executive Leadership & Board of Directors",,,,,"Central & South America,Middle East"
100391953,,"Real Estate,Government,Marketing & Digital Agency,Large Solution Provider or Technology Company,Startup Retailer or Brand,Established Retailer or Brand,Professional Services Firm,Startup Solution Provider or Technology Company",,,,"Africa,Other Europe,Australia & New Zealand,North America,Southern Europe,Central & South America,France & Benelux,China,Middle East,Nordics,Germany, Austria & Switzerland,UK & Ireland,Asia - Other,Eastern Europe,India","Partnerships,Supply Chain, Operations & Fulfillment",,,,,"Africa,Other Europe,Australia & New Zealand,North America,Southern Europe,Central & South America,France & Benelux,China,Middle East,Nordics,Germany, Austria & Switzerland,UK & Ireland,Asia - Other,Eastern Europe,India"
108821866,,,,,,"Africa,China,Germany, Austria & Switzerland,Southern Europe,Australia & New Zealand,Other Europe",Executive Leadership & Board of Directors,,,,,"Africa,China,Germany, Austria & Switzerland,Southern Europe,Australia & New Zealand,Other Europe"
